"header__reqNo","header__resultCode","header__resultMsg","body__items__item__desertionNo","body__items__item__filename","body__items__item__happenDt","body__items__item__happenPlace","body__items__item__kindCd","body__items__item__colorCd","body__items__item__age","body__items__item__weight","body__items__item__noticeNo","body__items__item__noticeSdt","body__items__item__noticeEdt","body__items__item__popfile","body__items__item__processState","body__items__item__sexCd","body__items__item__neuterYn","body__items__item__specialMark","body__items__item__careNm","body__items__item__careTel","body__items__item__careAddr","body__items__item__orgNm","body__items__item__chargeNm","body__items__item__officetel","body__items__item__noticeComment","body__numOfRows","body__pageNo","body__totalCount"
"","","","450650202105361","http://www.animal.go.kr/files/shelter/2021/12/202201030901749_s.jpg","20211231","제주시 애월읍 세비데미길 58","[개] 믹스견","흰색","2021(년생)","12(Kg)","제주-제주-2022-00004","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201030901749.jpg","종료(안락사)","F","N","개체관리번호 4588 - 빨노목줄","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105360","http://www.animal.go.kr/files/shelter/2021/12/20220103090154_s.jpg","20211231","서귀포시 남원읍 태수로 143번길 71-6","[개] 믹스견","흰색","2022(년생)","0.1(Kg)","제주-제주-2022-00003","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/20220103090154.jpg","종료(자연사)","M","N","개체관리번호 4587 - 1주/이유식후분양","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105359","http://www.animal.go.kr/files/shelter/2021/12/202201030901598_s.jpg","20211231","서귀포시 남원읍 태수로143번길 71-6	","[개] 믹스견","흰색","2021(년생)","17.2(Kg)","제주-제주-2022-00002","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201030901598.jpg","종료(안락사)","F","N","개체관리번호 4586","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105358","http://www.animal.go.kr/files/shelter/2021/12/202201030901183_s.jpg","20211231","서귀포시 서귀동 587-43","[개] 포메라니안","갈색","2019(년생)","2.5(Kg)","제주-제주-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201030901183.jpg","종료(반환)","F","N","개체관리번호 4585 ","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","448542202101085","http://www.animal.go.kr/files/shelter/2021/12/202201021401599_s.jpg","20211231","상리 부포로36","[개] 진도견","흰색","2019(년생)","15(Kg)","경남-고성-2022-00001","20220103","20220110","http://www.animal.go.kr/files/shelter/2021/12/202201021401599.jpg","종료(안락사)","F","U","1-608/입질 심함","고성군유기동물보호소","055-670-4314","경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터","경상남도 고성군","김우영","055-670-4316","","","",""
"","","","448535202101897","http://www.animal.go.kr/files/shelter/2021/12/202201031301773_s.jpg","20211231","율하로 4836(장유동) 모산초","[고양이] 믹스묘","갈색+흰색","2022(년생)","0.5(Kg)","경남-김해-2022-00011","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031301773.jpg","종료(자연사)","M","U","2-292, 50일추정, 영양상태 불량, 기력저하","누리동물병원","051-701-7599","부산광역시 해운대구 송정2로13번길 46 (송정동) ","경상남도 김해시","김해시","055-350-4133","","","",""
"","","","448535202101896","http://www.animal.go.kr/files/shelter/2021/12/202201031301543_s.jpg","20211231","봉황동 69-20","[개] 믹스견","흰색","2016(년생)","12(Kg)","경남-김해-2022-00010","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031301543.jpg","종료(자연사)","F","U","1-1286, 기립불능, 사고의심, 기력매우 저하","누리동물병원","051-701-7599","부산광역시 해운대구 송정2로13번길 46 (송정동) ","경상남도 김해시","김해시","055-350-4133","","","",""
"","","","448535202101895","http://www.animal.go.kr/files/shelter/2021/12/202201031301618_s.jpg","20211231","내외 119","[개] 말티즈","흰색","2010(년생)","5(Kg)","경남-김해-2022-00009","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031301618.jpg","종료(반환)","M","N","1-1285","누리동물병원","051-701-7599","부산광역시 해운대구 송정2로13번길 46 (송정동) ","경상남도 김해시","김해시","055-350-4133","","","",""
"","","","441409202101735","http://www.animal.go.kr/files/shelter/2022/01/202201120901529_s.jpg","20211231","산자뫼로 104번길 57 인근","[개] 믹스견","갈/흰","2018(년생)","18(Kg)","경기-김포-2022-00008","20220103","20220113","http://www.animal.go.kr/files/shelter/2022/01/202201120901529.jpg","종료(안락사)","F","U","유두큰,양윗입술상처,짖음,으르렁거림,겁많음,소심함,천천히다가가면사람약간따름","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 김포시","김수연","031-980-2893","","","",""
"","","","441409202101734","http://www.animal.go.kr/files/shelter/2021/12/202201031501144_s.jpg","20211231","산자뫼로 104번길 57 인근","[개] 믹스견","갈/검/흰","2022(년생)","1.9(Kg)","경기-김포-2022-00007","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501144.jpg","종료(안락사)","M","N","양귀반접힘. 코검정. 사람좋아함. 활발함. 꼬리단미안됨. 털때탐. ","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 김포시","김수연","031-980-2893","","","",""
"","","","441409202101733","http://www.animal.go.kr/files/shelter/2021/12/202201031501334_s.jpg","20211231","대곶면 산자뫼로104번길 57 인근","[개] 믹스견","갈/검/흰","2022(년생)","1.5(Kg)","경기-김포-2022-00006","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501334.jpg","종료(안락사)","F","U","양귀반접힘. 코검정. 사람좋아함. 활발함. 낑낑거림. 꼬리단미안됨. 털때탐. ","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 김포시","김수연","031-980-2893","","","",""
"","","","441409202101732","http://www.animal.go.kr/files/shelter/2021/12/202201031501930_s.jpg","20211231","대곶면 산자뫼로104번길 57 인근","[개] 믹스견","갈/검/흰","2022(년생)","1.5(Kg)","경기-김포-2022-00005","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501930.jpg","종료(입양)","M","N","양귀반접힘. 코검정. 사람좋아함. 활발함. 꼬리단미안됨. 털때탐. ","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 김포시","김수연","031-980-2893","","","",""
"","","","441409202101731","http://www.animal.go.kr/files/shelter/2021/12/20220103150163_s.jpg","20211231","대곶면 산자뫼로104번길 57 인근","[개] 믹스견","갈/검/흰","2022(년생)","1.5(Kg)","경기-김포-2022-00004","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/20220103150163.jpg","종료(안락사)","F","U","야귀반접힘. 코검정. 사람좋아함. 활발함. 낑낑거림. 꼬리단미안됨. 털때탐. ","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 김포시","김수연","031-980-2893","","","",""
"","","","441409202101730","http://www.animal.go.kr/files/shelter/2021/12/202201031501723_s.jpg","20211231","양촌읍 유현삭시로 241번길 63-11 인근","[개] 믹스견","검/흰","2022(년생)","2.3(Kg)","경기-김포-2022-00003","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501723.jpg","종료(안락사)","F","U","양귀반접힘. 코검정. 겁많음/소심/비명지름/방어적입질. 꼬리단미안됨. 털때탐.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 김포시","김수연","031-980-2893","","","",""
"","","","441409202101729","http://www.animal.go.kr/files/shelter/2021/12/202201031501674_s.jpg","20211231","양촌읍 유현삭시로 241번길 63-11 인근","[개] 믹스견","검/흰","2022(년생)","2(Kg)","경기-김포-2022-00002","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501674.jpg","종료(안락사)","F","U","양귀반접힘. 코검정. 겁많음/소심/방어적입질. 꼬리단미안됨. 털때탐.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 김포시","김수연","031-980-2893","","","",""
"","","","441409202101728","http://www.animal.go.kr/files/shelter/2021/12/20220103150178_s.jpg","20211231","양촌읍 유현삭시로 241번길 63-11 인근","[개] 믹스견","검/흰","2022(년생)","3.5(Kg)","경기-김포-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/20220103150178.jpg","종료(안락사)","M","N","양귀반접힘. 눈곱약간. 코검정. 겁많음/소심/방어적입질 약간. 꼬리단미안됨. 털때탐.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 김포시","김수연","031-980-2893","","","",""
"","","","441405202103288","http://www.animal.go.kr/files/shelter/2021/12/202201031401535_s.jpg","20211231","용인시 처인구 모현읍 월촌리76-1","[개] 믹스견","갈색","2021(년생)","12(Kg)","경기-용인-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031401535.jpg","보호중","M","U","쓸쓸한 눈빛을 가진 겨울남자","용인시 동물보호센터","031-324-3463","경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터","경기도 용인시","동물보호과","031-324-3463","","","",""
"","","","431373202101487","http://www.animal.go.kr/files/shelter/2021/12/202201031101375_s.jpg","20211231","대복동천로 27","[고양이] 한국 고양이","검정/흰색","2022(년생)","1.9(Kg)","울산-울주-2022-00002","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031101375.jpg","종료(입양)","M","N","순함/노란색 목테 있음","울산유기동물보호센터","052-238-6113","울산광역시 울주군 온양읍 발리 1144","울산광역시 울주군","김은지","052-204-1635","","","",""
"","","","431373202101486","http://www.animal.go.kr/files/shelter/2021/12/202201031101880_s.jpg","20211231","범서읍 굴화장검1길, 한라아트빌","[고양이] 한국 고양이","치즈","2022(년생)","1.8(Kg)","울산-울주-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031101880.jpg","종료(자연사)","M","N","순함/이동장과 함께 버려짐","울산유기동물보호센터","052-238-6113","울산광역시 울주군 온양읍 발리 1144","울산광역시 울주군","김은지","052-204-1635","","","",""
"","","","428351202101067","http://www.animal.go.kr/files/shelter/2021/12/202201021101365_s.jpg","20211231","미추홀구 아암대로 29번길 13","[고양이] 한국 고양이","삼색","2022(년생)","0.2(Kg)","인천-미추홀-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201021101365.jpg","종료(자연사)","F","N","2달추정, 양쪽눈병","인천광역시 수의사회","032-515-7567","인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ","인천광역시 미추홀구","미추홀구","032-880-4384","입양전제로 임시보호중","","",""
"","","","427344202100605","http://www.animal.go.kr/files/shelter/2021/12/202201031001328_s.jpg","20211231","명덕로16길 35","[개] 믹스견","검정","2019(년생)","7(Kg)","대구-남구-2022-00002","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031001328.jpg","종료(안락사)","M","N","겁많고 예민함","대구유기동물보호협회","053-964-6258","대구광역시 동구 금강로 151-13 (금강동) ","대구광역시 남구","","053-664-2644","","","",""
"","","","426336202101139","http://www.animal.go.kr/files/shelter/2021/12/202201031101924_s.jpg","20211231","맥도강변길 752-15","[고양이] 스코티시폴드","회색","2022(년생)","2(Kg)","부산-강서-2022-00005","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031101924.jpeg","종료(자연사)","F","N","케이지채버려짐,온순함,사람손을많이탐","부산동물보호센터","051-832-7119","부산광역시 강서구 맥도강변길 752-15 (대저2동) ","부산광역시 강서구","김세희","051-970-4814","","","",""
"","","","426336202101138","http://www.animal.go.kr/files/shelter/2021/12/202201031101365_s.jpg","20211231","맥도강변길 752-15","[고양이] 스코티시폴드","회색","2019(년생)","3(Kg)","부산-강서-2022-00004","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031101365.jpeg","종료(입양)","F","N","케이지채버려짐,온순함,사람손을많이탐","부산동물보호센터","051-832-7119","부산광역시 강서구 맥도강변길 752-15 (대저2동) ","부산광역시 강서구","김세희","051-970-4814","","","",""
"","","","426336202101137","http://www.animal.go.kr/files/shelter/2021/12/202201031101900_s.jpg","20211231","맥도강변길 752-15","[고양이] 스코티시폴드","회색","2022(년생)","0.4(Kg)","부산-강서-2022-00003","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031101900.jpeg","종료(자연사)","Q","N","케이지채버려짐,인공포유중","부산동물보호센터","051-832-7119","부산광역시 강서구 맥도강변길 752-15 (대저2동) ","부산광역시 강서구","김세희","051-970-4814","","","",""
"","","","426336202101136","http://www.animal.go.kr/files/shelter/2021/12/202201031101543_s.jpg","20211231","맥도강변길 752-15","[고양이] 스코티시폴드","회색","2022(년생)","1.8(Kg)","부산-강서-2022-00002","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031101543.jpeg","종료(자연사)","F","N","케이지채버려짐,온순함,사람손을많이탐","부산동물보호센터","051-832-7119","부산광역시 강서구 맥도강변길 752-15 (대저2동) ","부산광역시 강서구","김세희","051-970-4814","","","",""
"","","","426336202101135","http://www.animal.go.kr/files/shelter/2021/12/202201031101652_s.jpg","20211231","맥도강변길 752-15","[고양이] 스코티시폴드","회색","2018(년생)","2.5(Kg)","부산-강서-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031101652.jpeg","종료(입양)","F","U","케이지채버려짐,온순함,사람손을많이탐","부산동물보호센터","051-832-7119","부산광역시 강서구 맥도강변길 752-15 (대저2동) ","부산광역시 강서구","김세희","051-970-4814","","","",""
"","","","426332202100613","http://www.animal.go.kr/files/shelter/2021/12/202201031801482_s.jpg","20211231","부산광역시 북구 만덕2로 10, 삼성아파트","[개] 믹스견","검정","2022(년생)","1.5(Kg)","부산-북구-2022-00002","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031801482.jpg","종료(자연사)","F","N","2두, 온순함","부산동물보호센터","051-832-7119","부산광역시 강서구 맥도강변길 752-15 (대저2동) ","부산광역시 북구","하정무","051-309-4651","","","",""
"","","","426332202100612","http://www.animal.go.kr/files/shelter/2021/12/202201031801357_s.jpg","20211231","부산광역시 북구 만덕2로 10, 삼성아파트","[개] 믹스견","검정","2022(년생)","1.5(Kg)","부산-북구-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031801357.jpg","종료(입양)","M","N","2두, 온순함","부산동물보호센터","051-832-7119","부산광역시 강서구 맥도강변길 752-15 (대저2동) ","부산광역시 북구","하정무","051-309-4651","","","",""
"","","","411323202100793","http://www.animal.go.kr/files/shelter/2022/01/202201120901479_s.jpg","20211231","오금로 64 다길 16-1 인근","[개] 믹스견","갈색","2020(년생)","18(Kg)","서울-송파-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2022/01/202201120901479.jpg","종료(안락사)","F","U","분홍 목줄 착용. 양귀 쫑긋. 코검정. 겁많음/소심/방어적입질. 꼬리단미안됨. 털때탐.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","서울특별시 송파구","원은실","02-2147-2835","","","",""
"","","","411322202100851","http://www.animal.go.kr/files/shelter/2021/12/202201031501268_s.jpg","20211231","세곡동사거리 일대","[기타축종] 거북이","검","2022(년생)","0.9(Kg)","서울-강남-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501268.jpg","종료(안락사)","Q","U","성별/연령 추정불가. 활발함. 외관양호.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회","서울특별시 강남구","정복원","02-3423-5508","","","",""
"","","","411318202100677","http://www.animal.go.kr/files/shelter/2021/12/202201031501492_s.jpg","20211231","양평동1가 211-1 양평1동주민센터 인근","[고양이] 한국 고양이","갈/검/흰","2022(년생)","1.1(Kg)","서울-영등포-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501492.jpg","종료(자연사)","M","N","양안 안구이상. 비/구강출혈. 기력없음. 기립불능. 혈뇨. 털상태 양호.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 ","서울특별시 영등포구","홍승우","02-2670-3417","","","",""
"","","","411317202100488","http://www.animal.go.kr/files/shelter/2021/12/202201031501871_s.jpg","20211231","가산동 468-4 가산디지털단지역 5번출구 앞","[개] 믹스견","갈/흰","2017(년생)","4.5(Kg)","서울-금천-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501871.jpg","종료(입양)","M","Y","담요함께옴.좌후지절뚝임/파행.겁많음/소심/방어적입질.털때탐.양슬개골탈구.좌후지파행.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","서울특별시 금천구","생활유통팀","02-2627-1313","","","",""
"","","","411313202100909","http://www.animal.go.kr/files/shelter/2021/12/202112312012968_s.jpg","20211231","망원2동 파출소 앞","[개] 말티즈","흰색","2019(년생)","1.74(Kg)","서울-마포-2022-00001","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202112312012968.jpg","종료(반환)","F","U","마이크로칩없음. 순함. 흰옷+핑크색 치마옷 입고있음","웰케어 동물병원","02-337-7575","서울특별시 마포구 월드컵북로 27 (서교동, 이화빌딩) 서교동447-2","서울특별시 마포구","설미희","02-3153-8543","","","",""
"","","","411311202100897","http://www.animal.go.kr/files/shelter/2021/12/202201031501699_s.jpg","20211231","갈현동 서오릉 인근 도로 인도","[개] 푸들","검/흰","2015(년생)","3.5(Kg)","서울-은평-2022-00002","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201031501699.jpg","종료(입양)","F","U","보라색 체크무늬 하네스. 코검정. 사람좋아함/활발/짖음/낑낑댐. 꼬리단미됨. 털때탐.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-48  ","서울특별시 은평구","이지현","02-351-6842","","","",""
"","","","448528202101165","http://www.animal.go.kr/files/shelter/2022/03/202203091503247_s.jpg","20211231","완월남8길 25-4 주변","[개] 믹스견","흰색","2022(년생)","6(Kg)","경남-창원2-2022-00001","20220102","20220113","http://www.animal.go.kr/files/shelter/2022/03/202203091503247.jpg","종료(입양)","M","Y","3개월추정, 완전 깨발랄하고 토끼같이 점프함","마산유기동물보호소","055-225-5481","경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19","경상남도 창원시 마산합포회원구","창원시마산합포회원구","055-225-5701","","","",""
"","","","448547202100602","http://www.animal.go.kr/files/shelter/2021/12/202201011501982_s.jpg","20211231","거창읍 양평1길 100-12","[개] 셰퍼드","검정, 흰색, 갈색","2019(년생)","21(Kg)","경남-거창-2022-00001","20220101","20220111","http://www.animal.go.kr/files/shelter/2021/12/202201011501982.jpg","종료(입양)","F","N","온순함, 3세 추정","나래동물병원","055-942-8875","경상남도 거창군 거창읍 거창대로 13-2 (거창읍, 칠성슈퍼) ","경상남도 거창군","거창군","055-940-8140","","","",""
"","","","446481202101116","http://www.animal.go.kr/files/shelter/2021/12/202201011201908_s.jpg","20211231","여서 주공아파트","[개] 말티즈","흰색","2020(년생)","2.5(Kg)","전남-여수-2022-00001","20220101","20220111","http://www.animal.go.kr/files/shelter/2021/12/202201011201908.jpg","종료(입양)","F","N","온순함. 회색 옷 착용. 성대 수술 된 것으로 추정 됨.","유기동물보호소","061-659-4429","전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소","전라남도 여수시","축산정책팀","061-659-4429","","","",""
"","","","442420202100813","http://www.animal.go.kr/files/shelter/2021/12/202201011301854_s.jpg","20211231","주문진 연주로 GS편의점 앞","[개] 말티즈","흰색","2019(년생)","3.7(Kg)","강원-강릉-2022-00001","20220101","20220111","http://www.animal.go.kr/files/shelter/2021/12/202201011301854.jpg","종료(입양)","M","N","교통사고 골반골절","강릉시 동물사랑센터","033-641-7515","강원도 강릉시 성산면 내맬길 172  ","강원도 강릉시","동물정책과","033-640-5587","","","",""
"","","","427345202100691","http://www.animal.go.kr/files/shelter/2021/12/202201010901379_s.jpg","20211231","동천 119","[고양이] 한국 고양이","삼색","2022(년생)","1.3(Kg)","대구-북구-2022-00002","20220101","20220111","http://www.animal.go.kr/files/shelter/2021/12/202201010901379.jpg","종료(자연사)","F","N","교통사고 기립불가, 뒷다리 골절","대구유기동물보호협회","053-964-6258","대구광역시 동구 금강로 151-13 (금강동) ","대구광역시 북구","도유경","053-665-3192","","","",""
"","","","427345202100689","http://www.animal.go.kr/files/shelter/2021/12/202201010901772_s.jpg","20211231","사수동 한강공원","[고양이] 한국 고양이","흰+노랑","2020(년생)","7(Kg)","대구-북구-2022-00001","20220101","20220111","http://www.animal.go.kr/files/shelter/2021/12/202201010901772.jpg","종료(자연사)","M","Y","교통사고, 의식없음","대구유기동물보호협회","053-964-6258","대구광역시 동구 금강로 151-13 (금강동) ","대구광역시 북구","도유경","053-665-3192","","","",""
